Hours since 00:00 Jan 1,System power generated (kW)
1087,0
1088,0.0120846
1089,0.0206193
1090,0.0803609
1091,0.0214816
1092,0.4425
1093,0.443152
1094,0.0194952
1095,0.00597378
1096,0.259083
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0.0873025
1112,0.309259
1113,0.50463
1114,0.641859
1115,0.722784
1116,0.749603
1117,0.333511
1118,0.630835
1119,0.16762
1120,0.131825
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0.0910965
1136,0.228232
1137,0.504839
1138,0.64247
1139,0.726225
1140,0.623437
1141,0.565813
1142,0.633197
1143,0.481303
1144,0.264734
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0.0873168
1160,0.300272
1161,0.484295
1162,0.620104
1163,0.704331
1164,0.731832
1165,0.70661
1166,0.609777
1167,0.449251
1168,0.114118
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0.0866904
1184,0.30254
1185,0.317652
1186,0.652411
1187,0.534811
1188,0.413151
1189,0.343279
1190,0.49
1191,0.257841
1192,0.10445
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0.118867
1209,0.360965
1210,0.302687
1211,0.461276
1212,0.437799
1213,0.505744
1214,0.617665
1215,0.462402
1216,0.243454
1217,0.0133756
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0.100566
1232,0.30563
1233,0.491143
1234,0.609439
1235,0.687611
1236,0.587316
1237,0.55655
1238,0.430385
1239,0.347577
1240,0.117431
1241,0.00149392
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0.0998876
1256,0.23204
1257,0.442957
1258,0.519843
1259,0.688749
1260,0.720032
1261,0.697549
1262,0.617317
1263,0.477571
1264,0.271589
1265,0.0080683
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0.102818
1280,0.311705
1281,0.496127
1282,0.634807
1283,0.716713
1284,0.738968
1285,0.710724
1286,0.624985
1287,0.481459
1288,0.131315
1289,0.0328583
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0.10364
1304,0.321863
1305,0.510286
1306,0.637438
1307,0.706942
1308,0.721223
1309,0.690296
1310,0.606261
1311,0.468426
1312,0.259662
1313,0.0251634
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0.0109653
1328,0.116224
1329,0.514231
1330,0.655293
1331,0.737506
1332,0.766779
1333,0.744295
1334,0.655229
1335,0.502097
1336,0.292569
1337,0.041472
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0.02653
1352,0.0549971
1353,0.0730118
1354,0.295084
1355,0.743718
1356,0.765353
1357,0.734257
1358,0.640053
1359,0.479207
1360,0.261799
1361,0.0249498
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0.0588402
1376,0.0318768
1377,0.014545
1378,0.0763771
1379,0.438089
1380,0.142554
1381,0.182173
1382,0.122529
1383,0.0727425
1384,0.0469851
1385,0.00346684
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0.12375
1400,0.337648
1401,0.538538
1402,0.676106
1403,0.753035
1404,0.534236
1405,0.534537
1406,0.16734
1407,0.424739
1408,0.00663109
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0.00326826
1424,0.0286894
1425,0.23699
1426,0.216091
1427,0.216861
1428,0.375883
1429,0.00832973
1430,0.177585
1431,0.0947609
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0.0214198
1448,0.0884721
1449,0.191286
1450,0.346048
1451,0.350169
1452,0.290517
1453,0.137338
1454,0.149362
1455,0.120585
1456,0.117054
1457,0.0126074
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0.0989624
1472,0.254391
1473,0.361818
1474,0.647654
1475,0.620328
1476,0.724886
1477,0.551744
1478,0.502338
1479,0.353851
1480,0.149744
1481,0.00407182
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0.041446
1496,0.155541
1497,0.291751
1498,0.387204
1499,0.607525
1500,0.526467
1501,0.525803
1502,0.63744
1503,0.488666
1504,0.285678
1505,0.0521856
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0.128174
1520,0.338823
1521,0.51066
1522,0.544626
1523,0.702076
1524,0.732309
1525,0.708709
1526,0.441236
1527,0.485887
1528,0.181369
1529,0.0250972
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0.0902539
1544,0.218374
1545,0.359592
1546,0.643857
1547,0.711045
1548,0.738214
1549,0.715542
1550,0.629389
1551,0.476253
1552,0.276938
1553,0.0526512
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0.0566135
1568,0.119933
1569,0.544695
1570,0.583061
1571,0.638902
1572,0.601075
1573,0.529788
1574,0.563162
1575,0.466996
1576,0.299711
1577,0.0297379
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0.143672
1592,0.364327
1593,0.543746
1594,0.673933
1595,0.749712
1596,0.772683
1597,0.7436
1598,0.658779
1599,0.442362
1600,0.268966
1601,0.0668045
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0.0595782
1616,0.30955
1617,0.553168
1618,0.689405
1619,0.764202
1620,0.778621
1621,0.744642
1622,0.656846
1623,0.509219
1624,0.229577
1625,0.0522657
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0.144928
1640,0.280816
1641,0.457381
1642,0.551606
1643,0.739775
1644,0.760365
1645,0.736978
1646,0.650746
1647,0.500608
1648,0.29864
1649,0.0679981
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0.125482
1664,0.368831
1665,0.361945
1666,0.492093
1667,0.568688
1668,0.581343
1669,0.526654
1670,0.343433
1671,0.370365
1672,0.27013
1673,0.0419439
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0.152844
1688,0.376011
1689,0.567665
1690,0.703218
1691,0.77594
1692,0.78946
1693,0.752683
1694,0.660727
1695,0.512654
1696,0.309536
1697,0.0742886
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0.154724
1712,0.371213
1713,0.553589
1714,0.684405
1715,0.757664
1716,0.776649
1717,0.747551
1718,0.660735
1719,0.512153
1720,0.308874
1721,0.0736095
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0.160285
1736,0.378188
1737,0.56008
1738,0.68794
1739,0.760345
1740,0.781139
1741,0.75034
1742,0.661711
1743,0.51478
1744,0.268712
1745,0.0768101
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0.160674
1760,0.381227
1761,0.567511
1762,0.697922
1763,0.777686
1764,0.797283
1765,0.767189
1766,0.676002
1767,0.525027
1768,0.316634
1769,0.0779488
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0.160265
1784,0.36594
1785,0.538021
1786,0.670283
1787,0.735583
1788,0.760988
1789,0.737321
1790,0.655838
1791,0.510933
1792,0.316468
1793,0.0852725
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0.165224
1808,0.386187
1809,0.571002
1810,0.706316
1811,0.783429
1812,0.811703
1813,0.778967
1814,0.688773
1815,0.536181
1816,0.330163
1817,0.0568725
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0.0706285
1832,0.305885
1833,0.57738
1834,0.703043
1835,0.778489
1836,0.800161
1837,0.759914
1838,0.670398
1839,0.521117
1840,0.314118
1841,0.0810541
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0.173014
1856,0.385063
1857,0.555846
1858,0.683581
1859,0.760061
1860,0.783772
1861,0.752801
1862,0.66733
1863,0.518796
1864,0.321749
1865,0.0887434
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0.0216148
1879,0.138938
1880,0.300426
1881,0.474686
1882,0.609972
1883,0.682569
1884,0.701236
1885,0.628477
1886,0.502006
1887,0.513915
1888,0.313352
1889,0.084589
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0.0290964
1903,0.0457006
1904,0.145805
1905,0.411248
1906,0.552459
1907,0.602615
1908,0.582663
1909,0.753108
1910,0.661337
1911,0.506065
1912,0.204216
1913,0.0743468
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0.0088221
1927,0.0363925
1928,0.105399
